id_maestro,fuente_principal,nombre,region,sector,estado,año_inicio,en_ejatlas,nombre_ejatlas,en_ocmal,nombre_ocmal
CONF-0133,INDH,Carretera ruta Alerce Costero Tramo La Unión- Corral ,,Infraestructura de transporte,Activo,2016,False,,False,
CONF-0134,INDH,Acopio Chips en la comuna de Corral,,Forestal,Cerrado,1993,False,,False,
CONF-0135,INDH,Proyecto Mina Invierno (Isla Riesco),Magallanes y la Antártica Chilena,Minería,Activo,2010,True,"Minera Invierno de carbón en Isla Riesco, Chile",True,Isla Riesco Coal Exploitation
CONF-0136,INDH,Termoeléctrica Nueva Era,Valparaíso,Energía,Activo,2015,False,,False,
CONF-0137,INDH,Central hidroeléctrica San Pedro,Los Ríos,Energía,Activo,2007,False,,False,
CONF-0138,INDH,Planta de Alimentos Balanceados La Estrella,,Agropecuario,Activo,2018,False,,False,
CONF-0139,INDH,Conflicto Villa Parque Torreones IV - Valdicor ,,Planificación territorial,Activo,2018,False,,False,
CONF-0140,INDH,Proyecto minero Cerro Casale,Atacama,Minería,Activo,2001,False,,True,Cerro Casale Mining Opposition
CONF-0141,INDH,Central Hidroeléctrica Maqueo SN Power/Trayenko S.A,,Energía,Latente,2007,True,"Hidroeléctrica Maqueo, Chile",False,
CONF-0142,INDH,Proyecto minero La Candelaria,Atacama,Minería,Activo,1995,False,,False,
CONF-0143,INDH,Central termoeléctrica Guacolda,Atacama,Energía,Activo,1995,False,,False,
CONF-0144,INDH,Planta de celulosa Nueva Aldea (ex-Itata),Biobío,Forestal,Activo,1999,False,,False,
CONF-0145,INDH,Central termoeléctrica El Campesino,,Energía,Activo,2014,False,,False,
CONF-0146,INDH,Centrales hidroeléctricas Statkraft en el Río Pilmaiquén,,Energía,Activo,2007,False,,False,
CONF-0147,INDH,Planta de cerdos Agrosuper,Atacama,Agropecuario,Latente,2005,False,,False,
CONF-0148,INDH,Proyecto minero Caserones,Atacama,Minería,Activo,2008,False,,False,
CONF-0149,INDH,Proyecto minero Refugio,Atacama,Minería,Activo,1994,False,,False,
CONF-0150,INDH,Proyecto minero El Morro,Atacama,Minería,Latente,2008,False,,False,
CONF-0151,INDH,Cobquecura sin acuícolas,,Pesca y acuicultura,Activo,2016,False,,False,
CONF-0152,INDH,Central termoeléctrica Punta Alcalde,Atacama,Energía,Cerrado,2009,True,"Punta Alcalde power plant, Huasco, Chile",False,
CONF-0153,INDH,Pascua Lama,Atacama,Minería,Activo,1996,True,"Mina de oro, cobre y plata Pascua Lama, Chile",True,Pascua Lama glaciares en peligro
CONF-0154,INDH,"Expansión portuaria en Humedal ""Ojos de Mar"" de Llolleo",,Infraestructura portuaria,Activo,2010,False,,False,
CONF-0155,INDH,Megaproyecto inmobiliario sector Las Salinas,,Inmobiliario,Activo,2004,False,,False,
CONF-0156,INDH,Puerto Chino en Corral (Puerto Pacífico Sur/Consorcio Chino-Chileno),,Infraestructura portuaria,Latente,2017,True,"Puerto Corral Pacífico Sur, Chile",False,
CONF-0157,INDH,Avenida Circunvalación Humedal Angachilla,,Infraestructura de transporte,Activo,2010,False,,False,
CONF-0158,INDH,Centro de Manejo de Residuos Sólidos Malleco Norte,,Saneamiento ambiental,Activo,2016,False,,False,
CONF-0159,INDH,Proyecto minero Catanave,Arica y Parinacota,Minería,Archivado,2009,False,,False,
CONF-0160,INDH,Conflicto Criadero de Cerdos COEXCA San Agustín del Arbolillo,,Agropecuario,Activo,2015,False,,False,
CONF-0161,INDH,Proyecto minero Los Bronces Integrado de Anglo American,,Minería,Activo,2019,False,,False,
CONF-0162,INDH,Vertedero Municipal la Chimba,,Otro,Activo,2015,False,,False,
CONF-0163,EJAtlas,"Data Center Google en Cerrillos, Santiago, Chile",,,,,True,"Data Center Google en Cerrillos, Santiago, Chile",False,
CONF-0164,EJAtlas,"Green Hydrogen in the Magallanes Region, Chile",,,,,True,"Green Hydrogen in the Magallanes Region, Chile",False,
CONF-0165,EJAtlas,"Health impacts of pesticides exposure on rural populations in the Maule region, Chile",,,,,True,"Health impacts of pesticides exposure on rural populations in the Maule region, Chile",False,
CONF-0166,EJAtlas,"Living with pesticides from export crops in Monte Patria, Coquimbo Region, Chile.",,,,,True,"Living with pesticides from export crops in Monte Patria, Coquimbo Region, Chile.",False,
CONF-0167,EJAtlas,"Proyecto inmobiliario 'Maratué', Valparaíso, Chile",,,,,True,"Proyecto inmobiliario 'Maratué', Valparaíso, Chile",False,
CONF-0168,EJAtlas,"Minería de Tierras Raras en Penco, Región del Biobío, Chile",,,,,True,"Minería de Tierras Raras en Penco, Región del Biobío, Chile",False,
CONF-0169,EJAtlas,"Environmental threats (industrial salmon, new mining concessions) in Chiloé, Chile",,,,,True,"Environmental threats (industrial salmon, new mining concessions) in Chiloé, Chile",False,
CONF-0170,EJAtlas,"Ventanas Industrial Complex, Chile",,,,,True,"Ventanas Industrial Complex, Chile",False,
CONF-0171,EJAtlas,"Transporte de cobre en Antofagasta y movimiento Este Polvo te Mata, Chile",,,,,True,"Transporte de cobre en Antofagasta y movimiento Este Polvo te Mata, Chile",False,
CONF-0172,EJAtlas,"Extracción de agua en Pampa Colorada para la minera Escondida, Chile",,,,,True,"Extracción de agua en Pampa Colorada para la minera Escondida, Chile",False,
CONF-0173,EJAtlas,"Small-scale fisher people against contaminating industries in Valparaiso, Chile",,,,,True,"Small-scale fisher people against contaminating industries in Valparaiso, Chile",False,
CONF-0174,EJAtlas,"Yelcho Watershed targeted by Ministry of Energy’s hydro plans, Chile",,,,,True,"Yelcho Watershed targeted by Ministry of Energy’s hydro plans, Chile",False,
CONF-0175,EJAtlas,"Lithium and iron mining in the dunes of Putu, Chile",,,,,True,"Lithium and iron mining in the dunes of Putu, Chile",False,
CONF-0176,EJAtlas,"Lithium mining in Salar Coipasa, Chile and Bolivia",,,,,True,"Lithium mining in Salar Coipasa, Chile and Bolivia",False,
CONF-0177,EJAtlas,"Lithium mining and potassium Salar Maricunga, Copiapó, Chile",,,,,True,"Lithium mining and potassium Salar Maricunga, Copiapó, Chile",False,
CONF-0178,EJAtlas,"Proyecto Minera Dominga, Coquimbo, Chile",,,,,True,"Proyecto Minera Dominga, Coquimbo, Chile",True,Proyecto Dominga
CONF-0179,EJAtlas,"Las Vizcachitas Mining Project, Chile",,,,,True,"Las Vizcachitas Mining Project, Chile",True,Proyecto Vizcachita
CONF-0180,EJAtlas,"Central Hidroeléctrica Rucalhue, Bíobío, Chile",,,,,True,"Central Hidroeléctrica Rucalhue, Bíobío, Chile",False,
CONF-0181,EJAtlas,"Geothermal plant Cerro Pabellón, Chile",,,,,True,"Geothermal plant Cerro Pabellón, Chile",False,
CONF-0182,EJAtlas,"Angostura dam, Chile",,,,,True,"Angostura dam, Chile",False,
CONF-0183,EJAtlas,"Minera Manganese Atacama, Chile",,,,,True,"Minera Manganese Atacama, Chile",False,
CONF-0184,EJAtlas,"Exploitation of Manganese Los Pumas, Arica, Chile",,,,,True,"Exploitation of Manganese Los Pumas, Arica, Chile",False,
CONF-0185,EJAtlas,"The avocado agribusiness and the water crisis in Petorca, Valparaiso Chile",,,,,True,"The avocado agribusiness and the water crisis in Petorca, Valparaiso Chile",False,
CONF-0186,EJAtlas,"Proyecto Nueva Unión en Vallenar, Chile",,,,,True,"Proyecto Nueva Unión en Vallenar, Chile",False,
CONF-0187,EJAtlas,"Proyecto de minería de oro Los Domos, Aysén, Chile",,,,,True,"Proyecto de minería de oro Los Domos, Aysén, Chile",True,Proyecto Los Domos
CONF-0188,EJAtlas,"Ralco HEP and Bio Bio Watershed hydro plans, Chile",,,,,True,"Ralco HEP and Bio Bio Watershed hydro plans, Chile",False,
CONF-0189,EJAtlas,"Puesco-Momolluco complex and Tolten Watershed hydropower plans, Chile",,,,,True,"Puesco-Momolluco complex and Tolten Watershed hydropower plans, Chile",False,
CONF-0190,EJAtlas,"Chiloé wind power project in Mapuche territory, Chile",,,,,True,"Chiloé wind power project in Mapuche territory, Chile",False,
CONF-0191,EJAtlas,"Minera El Morro en Valles del Huasco, Chile",,,,,True,"Minera El Morro en Valles del Huasco, Chile",False,
CONF-0192,EJAtlas,"Mediterraneo Hydroelectric plant and future exploitation plans of Puelo River, Chile",,,,,True,"Mediterraneo Hydroelectric plant and future exploitation plans of Puelo River, Chile",False,
CONF-0193,EJAtlas,"Minas de Carbón en Isla Guafo, Chile",,,,,True,"Minas de Carbón en Isla Guafo, Chile",True,Coal Exploitation at Isla Guafo
CONF-0194,EJAtlas,"Hidroaysén hydroelectric project, Chile",,,,,True,"Hidroaysén hydroelectric project, Chile",False,
CONF-0195,EJAtlas,"Castilla Thermal Power Station, Chile",,,,,True,"Castilla Thermal Power Station, Chile",False,
CONF-0196,EJAtlas,"White Quebrada White and Quebrada Phase 2 in Tarapaca, Chile",,,,,True,"White Quebrada White and Quebrada Phase 2 in Tarapaca, Chile",False,
CONF-0197,EJAtlas,"Drying of Quillagua by Chuquicamata and SQM, Chile",,,,,True,"Drying of Quillagua by Chuquicamata and SQM, Chile",False,
CONF-0198,EJAtlas,"Mina Escondida en el Salar de Punta Negra,  Chile",,,,,True,"Mina Escondida en el Salar de Punta Negra,  Chile",False,
CONF-0199,EJAtlas,"Minera Los Pelambres, Los Vilos, Coquimbo, Chile",,,,,True,"Minera Los Pelambres, Los Vilos, Coquimbo, Chile",True,Los Pelambres Tailings
CONF-0200,EJAtlas,"Neltume hydroelectric project in Panguipulli, Chile",,,,,True,"Neltume hydroelectric project in Panguipulli, Chile",False,
CONF-0201,EJAtlas,"Hidroñuble Hydroelectric dam, Chile",,,,,True,"Hidroñuble Hydroelectric dam, Chile",False,
CONF-0202,EJAtlas,"Embalse La Tranca, Valle de Cogotí, Chile",,,,,True,"Embalse La Tranca, Valle de Cogotí, Chile",False,
CONF-0203,EJAtlas,"Yacimiento de Cobre Los Pingos, Tulahuén, Chile",,,,,True,"Yacimiento de Cobre Los Pingos, Tulahuén, Chile",False,
CONF-0204,EJAtlas,"Minera de cobre Candelaria, Tierra Amarilla, Chile",,,,,True,"Minera de cobre Candelaria, Tierra Amarilla, Chile",False,
CONF-0205,EJAtlas,"Minería de Oro y Cobre Cerro Casale/Aldebaran, Chile",,,,,True,"Minería de Oro y Cobre Cerro Casale/Aldebaran, Chile",False,
CONF-0206,EJAtlas,"Embalse La Punilla, Ñuble, Chile",,,,,True,"Embalse La Punilla, Ñuble, Chile",False,
CONF-0207,EJAtlas,"Proyecto Minera Paguanta, Quebrada de Tarapacá, Chile",,,,,True,"Proyecto Minera Paguanta, Quebrada de Tarapacá, Chile",False,
CONF-0208,EJAtlas,"Osorno water crisis and anti-privatization struggle, Chile",,,,,True,"Osorno water crisis and anti-privatization struggle, Chile",False,
CONF-0209,EJAtlas,"Minera de cobre Doña Inés de Collahuasi, Chile",,,,,True,"Minera de cobre Doña Inés de Collahuasi, Chile",True,Doña Inés de Collahuasi
CONF-0210,EJAtlas,"Caserones, Chile",,,,,True,"Caserones, Chile",True,Proyecto Caserones sequía Tierra Amarilla
CONF-0211,EJAtlas,"'Tranquilo' coal mining project, Chile",,,,,True,"'Tranquilo' coal mining project, Chile",False,
CONF-0212,EJAtlas,"Contaminación por asbesto en empresa Pizarreño, Chile",,,,,True,"Contaminación por asbesto en empresa Pizarreño, Chile",False,
CONF-0213,EJAtlas,"Hidroeléctrica Tranguil, Chile",,,,,True,"Hidroeléctrica Tranguil, Chile",False,
CONF-0214,EJAtlas,"Rio Cuervo Hydroelectric Project, Aysen, Chile",,,,,True,"Rio Cuervo Hydroelectric Project, Aysen, Chile",False,
CONF-0215,EJAtlas,"Monoculture plantation in Araucania, Chile",,,,,True,"Monoculture plantation in Araucania, Chile",False,
CONF-0216,EJAtlas,"Huasco - Petcoke, Chile",,,,,True,"Huasco - Petcoke, Chile",False,
CONF-0217,EJAtlas,"Landfills in Mapuche Territories, Chile",,,,,True,"Landfills in Mapuche Territories, Chile",False,
CONF-0218,OCMAL,Valle del Lluta and Canal Uchusuma,Arica y Parinacota,Minería,,2007,False,,True,Valle del Lluta and Canal Uchusuma
CONF-0219,OCMAL,Carmen de Andacollo Expansion,Coquimbo,Minería,,1998,False,,True,Carmen de Andacollo Expansion
CONF-0220,OCMAL,Altonorte Expansion,Antofagasta,Minería,,,False,,True,Altonorte Expansion
CONF-0221,OCMAL,Quillagua Contamination,Antofagasta,Minería,,1997,False,,True,Quillagua Contamination
CONF-0222,OCMAL,Delfín Project,Antofagasta,Minería,,2015,False,,True,Delfín Project
CONF-0223,OCMAL,Chinese Mining Company,Coquimbo,Minería,,2013,False,,True,Chinese Mining Company
CONF-0224,OCMAL,Penco BioLantánidos,Biobío,Minería,,2016,False,,True,Penco BioLantánidos
CONF-0225,OCMAL,Toconao Salmuera Extraction,Antofagasta,Minería,,2017,False,,True,Toconao Salmuera Extraction
CONF-0226,OCMAL,Belén Indigenous Exploration Opposition,Arica y Parinacota,Minería,,2018,False,,True,Belén Indigenous Exploration Opposition
CONF-0227,OCMAL,Huatacondo Quechua Community,Tarapacá,Minería,,2016,False,,True,Huatacondo Quechua Community
CONF-0228,OCMAL,Salar de Maricunga Defense,Atacama,Minería,,2017,False,,True,Salar de Maricunga Defense
CONF-0229,OCMAL,Elqui Valley Opposition (Alturas),Coquimbo,Minería,,2011,False,,True,Elqui Valley Opposition (Alturas)
CONF-0230,OCMAL,Huasco Valley Resistance,Atacama,Minería,,2018,False,,True,Huasco Valley Resistance
CONF-0231,OCMAL,Chañaral Bay Contamination,Atacama,Minería,,1938,False,,True,Chañaral Bay Contamination
CONF-0232,OCMAL,Manganesos Atacama Contamination,Coquimbo,Minería,,1945,False,,True,Manganesos Atacama Contamination
CONF-0233,OCMAL,Lauca National Park Deaffectation,Arica y Parinacota,Minería,,1999,False,,True,Lauca National Park Deaffectation
CONF-0234,OCMAL,Pachón Project,Coquimbo,Minería,,1997,False,,True,Pachón Project
CONF-0235,OCMAL,Andrean Dragón Heavy Metal Processing Plant,Valparaíso,Minería,,2012,False,,True,Andrean Dragón Heavy Metal Processing Plant
CONF-0236,OCMAL,Las Ventanas Copper Smelter Contamination,Valparaíso,Minería,,1958,False,,True,Las Ventanas Copper Smelter Contamination
CONF-0237,OCMAL,Minera Dayton contamina aguas de Andacollo,Coquimbo,Minería,,1995,False,,True,Minera Dayton contamina aguas de Andacollo
CONF-0238,OCMAL,Minera Los Pingos amenaza Valle del Limarí,Coquimbo,Minería,,1996,False,,True,Minera Los Pingos amenaza Valle del Limarí
CONF-0239,OCMAL,Proyecto El Espino Valle de Illapel,Coquimbo,Minería,,2016,False,,True,Proyecto El Espino Valle de Illapel
CONF-0240,OCMAL,Proyecto Catanave,Arica y Parinacota,Minería,,2009,False,,True,Proyecto Catanave
CONF-0241,OCMAL,Proyecto NX Uno,Antofagasta,Minería,,2009,False,,True,Proyecto NX Uno
CONF-0242,OCMAL,Proyecto Paguanta,Tarapacá,Minería,,2011,False,,True,Proyecto Paguanta
CONF-0243,OCMAL,Teck Cominco Valle de Elqui,Coquimbo,Minería,,2006,False,,True,Teck Cominco Valle de Elqui
CONF-0244,OCMAL,Puzolana extraction conflict,Metropolitana,Minería,,2011,False,,True,Puzolana extraction conflict
